QueryDate,URL,MobileURL,Date,Title
2019-01-01,https://segmentnext.com/2019/01/01/soulja-boy-consoles-pulled-store-after-realizes-all-up-in-it/,https://segmentnext.com/2019/01/01/soulja-boy-consoles-pulled-store-after-realizes-all-up-in-it/amp/,2019-01-01 01:30:00,Soulja Boy Consoles Pulled From Store After He Realizes He All Up In It
2019-01-02,https://www.ign.com/articles/2018/12/31/best-nintendo-gifts-of-2018,https://m.ign.com/articles/2018/12/31/best-nintendo-gifts-of-2018,2019-01-02 00:30:00,Best Nintendo Gifts of 2018
2019-01-03,https://gameranx.com/features/id/167600/article/wii-u-console-exclusives-thats-still-not-available-on-nintendo-switch/,,2019-01-03 00:15:00,Wii U Console Exclusives That Still Not Available on Nintendo Switch
2019-01-04,http://www.vgchartz.com/article/435155/nintendo-eshop-new-year-sale-discounts-switch-and-3ds-games/,,2019-01-04 00:00:00,Nintendo eShop New Year Sale Discounts Switch and 3DS Games
2019-01-07,https://www.forbes.com/sites/olliebarder/2019/01/06/the-future-of-nintendo-may-not-be-on-home-consoles/,,2019-01-07 02:30:00,The Future Of Nintendo May Not Be On Home Consoles
2019-01-08,https://www.polygon.com/2019/1/7/18172423/humble-bundle-store-nintendo-switch-3ds-games,https://www.polygon.com/platform/amp/2019/1/7/18172423/humble-bundle-store-nintendo-switch-3ds-games,2019-01-08 01:30:00,Nintendo Switch games now sold on Humble store
2019-01-09,https://www.marketwatch.com/press-release/nintendo-news-two-classic-adventures-arrive-on-nes-nintendo-switch-online-on-jan-16-2019-01-08,,2019-01-09 02:00:00,Nintendo News : Two Classic Adventures Arrive on NES – Nintendo Switch Online on Jan . 16
2019-01-10,https://www.denofgeek.com/uk/games/nintendo-switch-online/62655/nintendo-switch-online-free-classic-NES-games-library-list-uk,,2019-01-10 11:15:00,Nintendo Switch Online : which free NES games are added in January 2019 ? 
2019-01-11,https://www.ign.com/articles/2019/01/11/is-nintendo-done-with-consoles-we-dont-think-so-nvc-ep-439,https://m.ign.com/articles/2019/01/11/is-nintendo-done-with-consoles-we-dont-think-so-nvc-ep-439,2019-01-11 05:15:00,Is Nintendo Done With Consoles ? ( We Dont Think So ) - NVC Ep 439
2019-01-14,https://news.cnyes.com/news/id/4267689,https://m.cnyes.com/news/id/4267689,2019-01-14 04:45:00, 「 大亂鬥 」 夯 ！ 日Switch銷量將突破700萬大關 ！ | 鉅亨網
2019-01-15,http://news.zol.com.cn/707/7074177.html,http://m.zol.com.cn/article/7074177.html,2019-01-15 00:15:00,外媒支招库克收购任天堂 ？ 这事儿苹果搞不定
2019-01-16,http://www.siliconera.com/2019/01/15/this-week-in-sales-a-smashing-start-to-2019/,,2019-01-16 02:45:00,This Week In Sales : A Smashing Start To 2019
2019-01-17,http://games.ifeng.com/a/20190117/45291887_0.shtml,,2019-01-17 02:45:00,公然挑战任天堂 挨告的秋叶原卡丁车还在运营
2019-01-18,http://ask.zol.com.cn/q/2166544.html,,2019-01-18 01:45:00,任天堂Switch终于支持中文系统了 ？- 任天堂Switch - ZOL问答
2019-01-21,https://finance.yahoo.com/news/nintendo-rebounds-optimistic-signs-emerge-210000267.html,https://www.yahoo.com/amphtml/finance/news/nintendo-rebounds-optimistic-signs-emerge-210000267.html,2019-01-21 00:45:00,Nintendo Rebounds as Optimistic Signs Emerge After a Brutal Year
2019-01-22,https://www.tweaktown.com/news/64567/nintendo-miss-20-million-switch-sales-analysts-predict/,,2019-01-22 00:30:00,"Nintendo to miss 20 million Switch sales , analysts predict"
2019-01-23,https://www.nintendoenthusiast.com/2019/01/22/nintendo-has-had-a-job-listing-for-switch-online-manager-for-several-months/,,2019-01-23 01:15:00,Job listing for  Nintendo Switch Online Manager  has been up since Oct . 
2019-01-24,https://kotaku.com/switch-is-selling-like-wii-thanks-to-traditional-ninte-1831998830,https://kotaku.com/switch-is-selling-like-wii-thanks-to-traditional-ninte-1831998830/amp,2019-01-24 00:30:00,"Switch Is Selling Like Wii , Thanks To Traditional Nintendo Games"
2019-01-25,https://www.phonandroid.com/switch-nintendo-affirme-quil-ny-aura-ni-nouvelle-console-ni-baisse-de-prix.html,https://www.phonandroid.com/switch-nintendo-affirme-quil-ny-aura-ni-nouvelle-console-ni-baisse-de-prix.html/amp,2019-01-25 15:45:00,"Switch : Nintendo martèle quil ny aura ni nouvelle console , ni baisse de prix"
2019-01-28,https://unwire.hk/2019/01/28/nintendo-president-debunks-nintendo-switch-rumors/game-channel/,https://unwire.hk/2019/01/28/nintendo-president-debunks-nintendo-switch-rumors/game-channel/amp/,2019-01-28 02:00:00,任天堂社長 ： 暫時沒有 Switch 後繼機或減價計劃 | 香港 UNWIRE . HK 玩生活 ． 樂科技
2019-01-29,http://3c.ltn.com.tw/news/35769,,2019-01-29 10:30:00,任天堂 Switch 中文版正式登場 ！「 這一句 」 讓強國人玻璃心碎滿地
2019-01-30,http://www.zocalo.com.mx/reforma/detail/busca-nintendo-a-estrellas-mexicanas,,2019-01-30 00:00:00,Busca Nintendo a estrellas mexicanas
2019-01-31,https://multiplayer.it/notizie/nintendo-switch-oltre-32-milioni-console-vendute-previsioni-abbassate-17-milioni.html,https://multiplayer.it/notizie/nintendo-switch-oltre-32-milioni-console-vendute-previsioni-abbassate-17-milioni.html?amp,2019-01-31 09:15:00,"Nintendo Switch : oltre 32 milioni di console vendute , previsioni abbassate a 17 milioni per lanno fiscale"
2019-02-01,https://variety.com/2019/gaming/news/nintendo-labo-sales-2018-1203125619/,https://variety.com/2019/gaming/news/nintendo-labo-sales-2018-1203125619/amp/,2019-02-01 03:30:00,Only About One Million Nintendo Labo Kits Sold Last Year
2019-02-04,https://www.ubergizmo.com/2019/02/small-nintendo-switch-in-development/,https://www.ubergizmo.com/2019/02/small-nintendo-switch-in-development/amp/,2019-02-04 01:30:00,"Smaller , More Portable Nintendo Switch In Development"
2019-02-05,https://www.destructoid.com/blogs/kingnothing997/xbox-live-and-nintendo-sittin-in-a-tree-541618.phtml,,2019-02-05 02:30:00,"Community Blog by kingnothing997 // Xbox ( Live ) and Nintendo , Sittin  In A Tree"
2019-02-06,https://www.reuters.com/article/us-line-game-nintendo-idUSKCN1PP38K,https://mobile.reuters.com/article/amp/idUSKCN1PP38K,2019-02-06 01:15:00,"Japan Nintendo , Line team up for new Mario mobile game"
2019-02-07,https://gameranx.com/updates/id/170013/article/nintendo-reveals-new-nes-titles-for-nintendo-switch-online-service/,,2019-02-07 00:00:00,Nintendo Reveals New NES Titles For Nintendo Switch Online Service
2019-02-08,https://multiplayer.it/notizie/nintendo-switch-furukawa-obiettivi-vendita-falliti-insufficiente-mancanza-appeal.html,https://multiplayer.it/notizie/nintendo-switch-furukawa-obiettivi-vendita-falliti-insufficiente-mancanza-appeal.html?amp,2019-02-08 15:45:00,"Nintendo Switch , Furukawa : obiettivi di vendita falliti per insufficiente mancanza di appeal"
2019-02-11,https://www.lifehacker.com.au/2019/02/nintendo-switch-mini-pecs-price-release-date/,https://www.lifehacker.com.au/2019/02/nintendo-switch-mini-pecs-price-release-date/amp,2019-02-11 04:15:00,Nintendo Switch Mini : Everything You Need To Know
2019-02-12,https://www.ign.com/articles/2019/02/12/nintendo-direct-arriving-tomorrow,https://m.ign.com/articles/2019/02/12/nintendo-direct-arriving-tomorrow,2019-02-12 15:30:00,Nintendo Direct Arriving Tomorrow
2019-02-13,http://www.kcbd.com/2019/02/12/nintendo-direct-switch-games-set-big-reveal/,/2019/02/12/nintendo-direct-switch-games-set-big-reveal/?outputType=amp,2019-02-13 00:30:00,Nintendo Direct : Switch games set for big reveal
2019-02-14,https://www.digitaltrends.com/gaming/new-nintendo-2ds-xl-versus-new-nintendo-3ds-xl/,https://www.digitaltrends.com/gaming/new-nintendo-2ds-xl-versus-new-nintendo-3ds-xl/amp/,2019-02-14 00:15:00,New Nintendo 2DS XL vs . New Nintendo 3DS XL | Spec Comparison
2019-02-15,https://www.kotaku.com.au/2019/02/three-big-questions-after-the-february-2019-nintendo-direct/,https://www.kotaku.com.au/2019/02/three-big-questions-after-the-february-2019-nintendo-direct/amp,2019-02-15 00:00:00,Three Big Questions After The February 2019 Nintendo Direct
2019-02-18,https://www.digitaltrends.com/gaming/bayonetta-3-set-to-launch-in-2019/,https://www.digitaltrends.com/gaming/bayonetta-3-set-to-launch-in-2019/amp/,2019-02-18 02:45:00,Bayonetta 3 Will be Released for the Nintendo Switch This Year
2019-02-19,https://www.shacknews.com/article/110008/scalebound-could-be-revived-as-nintendo-switch-exclusive,https://www.shacknews.com/article/110008/scalebound-could-be-revived-as-nintendo-switch-exclusive?amphtml=1,2019-02-19 01:30:00,Scalebound could be revived as Nintendo Switch exclusive
2019-02-20,https://gamerant.com/us-government-stolen-nintendo-music-flash-game/,,2019-02-20 02:15:00,US Government Steals Nintendo Music for Flash Game
2019-02-21,https://www.businesswire.com/news/home/20190221005363/en/Nintendo-Download-Pok%C3%A9mon-Buy!,,2019-02-21 14:30:00,Nintendo Download : Try Pokémon Before You Buy ! 
2019-02-22,https://www.comingsoon.net/games/news/1042303-nintendo-of-americas-reggie-fils-aime-retiring,https://www.comingsoon.net/games/news/1042303-nintendo-of-americas-reggie-fils-aime-retiring/amp,2019-02-22 00:00:00,Nintendo Of America Reggie Fils - Aime Retiring
2019-02-25,http://games.ifeng.com/a/20190222/45315601_0.shtml,,2019-02-25 05:30:00,任天堂美国总裁雷吉退休 告别视频回顾过往精彩瞬间
2019-02-26,https://times.hinet.net/news/22246553,,2019-02-26 01:00:00,任天堂實施庫藏股 規模達330億日圓
2019-02-27,https://www.express.co.uk/entertainment/gaming/1093019/Pokemon-Nintendo-Direct-time-Where-to-watch-Direct-what-time,https://www.express.co.uk/entertainment/gaming/1093019/Pokemon-Nintendo-Direct-time-Where-to-watch-Direct-what-time/amp,2019-02-27 06:45:00,Pokemon Nintendo Direct time : Where to watch Direct and what time to tune in TODAY
2019-02-28,https://www.marketwatch.com/articles/apples-next-big-move-it-should-buy-nintendo-51547257452,,2019-02-28 00:15:00,Apple Next Big Move ? It Should Buy Nintendo
2019-03-01,https://www.businessinsider.com.au/pokemon-sword-shield-nintendo-switch-3ds-2019-2,https://www.businessinsider.com.au/pokemon-sword-shield-nintendo-switch-3ds-2019-2/amp,2019-03-01 04:15:00,The arrival of Pokémon on the Nintendo Switch is the end of an era and kids are the ones who are going to lose out
2019-03-04,https://www.gamespot.com/articles/nintendo-reveals-how-much-its-employees-make-in-ja/1100-6465324/,https://www.gamespot.com/amp-articles/nintendo-reveals-how-much-its-employees-make-in-ja/1100-6465324/,2019-03-04 00:45:00,Nintendo Reveals How Much Its Employees Make In Japan And Other Key Statistics
2019-03-05,https://www.slashgear.com/rip-ps-vita-is-this-the-beginning-of-the-end-for-dedicated-handhelds-04568354/,https://www.slashgear.com/rip-ps-vita-is-this-the-beginning-of-the-end-for-dedicated-handhelds-04568354/amp/,2019-03-05 00:45:00,RIP PS Vita : Is this the beginning of the end for dedicated handhelds ? 
2019-03-06,https://www.marketwatch.com/press-release/nintendo-news-vanquish-mythical-monsters-and-go-island-hopping-on-nintendo-switch-online-in-march-2019-03-05,,2019-03-06 01:30:00,Nintendo News : Vanquish Mythical Monsters and Go Island Hopping on Nintendo Switch Online in March
2019-03-07,https://www.businesswire.com/news/home/20190306005833/en/New-Nintendo-Labo-Kit-Introduces-Shareable-Simple,,2019-03-07 01:30:00,"New Nintendo Labo Kit Introduces Shareable , Simple VR Gaming Experiences"
2019-03-08,https://www.iol.co.za/business-report/technology/nintendo-launches-a-vr-labo-kit-for-the-switch-19705612,,2019-03-08 11:30:00,Nintendo launches a VR Labo kit for the Switch | IOL Business Report
2019-03-11,https://news.sina.com.tw/article/20190311/30407854.html,,2019-03-11 05:30:00,任天堂VR眼鏡直接Switch貼臉 玩家笑稱滿臉馬賽克
2019-03-12,http://n4g.com/news/2247879/5-nintendo-series-that-should-go-vr,,2019-03-12 01:15:00,5 Nintendo Series That Should Go VR
2019-03-13,"https://www.gamestar.de/artikel/nintendo-switch-diablo-iii-edition-gaming-monitore-wqhd-und-4k-goenn-dir-dienstag-bei-mediamarktde-anzeige,3341647.html","https://www.gamestar.de/artikel/nintendo-switch-diablo-iii-edition-gaming-monitore-wqhd-und-4k-goenn-dir-dienstag-bei-mediamarktde-anzeige,3341647.amp",2019-03-13 00:15:00,"Nintendo Switch Diablo III Edition , Gaming - Monitore WQHD und 4K - Gönn - dir - Dienstag bei Mediamarkt . de [ Anzeige ] "
2019-03-14,https://www.shacknews.com/article/110502/a-wild-rare-nintendo-world-championships-cartridge-appears,https://www.shacknews.com/article/110502/a-wild-rare-nintendo-world-championships-cartridge-appears?amphtml=1,2019-03-14 01:45:00,A wild rare Nintendo World Championships cartridge appears
2019-03-15,http://www.repretel.com/espectaculos/conozca-caracteristicas-obligaron-sacar-aire-boeing-737-max-145480,,2019-03-15 00:30:00,El videojuego de Nintendo que fue descubierto 30 años después | Espectáculos
2019-03-18,https://www.ign.com/articles/2019/03/18/the-best-nintendo-switch-deals-and-bundles?abthid=5c8f81b29a05a9517d0016b2,https://m.ign.com/articles/2019/03/18/the-best-nintendo-switch-deals-and-bundles,2019-03-18 13:00:00,The Best Nintendo Switch Deals and Bundles 2019
2019-03-19,https://bgr.com/2019/03/18/nintendo-gaming-phone-rumor-switch-connectivity/,https://bgr.com/2019/03/18/nintendo-gaming-phone-rumor-switch-connectivity/amp/,2019-03-19 00:45:00,Nintendo is reportedly thinking about launching its own gaming phone
2019-03-20,https://www.newsweek.com/nintendo-direct-nindies-showcase-2019-1368623,https://www.newsweek.com/nintendo-direct-nindies-showcase-2019-1368623?amp=1,2019-03-20 02:45:00,Nintendo Direct Nindies Spring Showcase : How to Watch Online
2019-03-21,https://kbench.com/?q=node/196451,https://m.kbench.com/?q=node/196451,2019-03-21 09:45:00,"헤일로 , 기어즈오브워 , 포르자 등의 XBOX 대표 타이틀을 닌텐도 스위치로 ? 루머"
2019-03-22,https://www.businesswire.com/news/home/20190321005780/en/Experience-Family-Friendly-VR-Hippos-Aliens-Photography-New,,2019-03-22 01:30:00,"Experience Family - Friendly VR with Hippos , Aliens , Photography and More in New Nintendo Labo : VR Kit"
2019-03-25,https://www.firstpost.com/tech/gaming/two-new-versions-of-the-nintendo-switch-will-arrive-later-this-year-report-6322201.html,https://www.firstpost.com/tech/gaming/two-new-versions-of-the-nintendo-switch-will-arrive-later-this-year-report-6322201.html/amp,2019-03-25 10:30:00,"Two new versions of the Nintendo Switch will arrive later this year : Report - Technology News , Firstpost"
2019-03-26,https://www.origo.hu/gazdasag/20190325-erkezik-ket-uj-nintendo-switch.html,https://m.origo.hu/gazdasag/20190325-erkezik-ket-uj-nintendo-switch.html,2019-03-26 08:15:00,Két új Nintendo játékkonzol érkezik az idén
2019-03-27,https://www.ign.com/articles/2019/03/26/the-best-nintendo-switch-deals-and-bundles,https://m.ign.com/articles/2019/03/26/the-best-nintendo-switch-deals-and-bundles,2019-03-27 00:00:00,The Best Nintendo Switch Deals and Bundles 2019
2019-03-28,https://www.techtimes.com/articles/240383/20190327/nintendo-could-be-working-on-2-switch-variants.htm,https://www.techtimes.com/amp/articles/240383/20190327/nintendo-could-be-working-on-2-switch-variants.htm,2019-03-28 09:30:00,Nintendo Could Be Working On 2 Switch Variants
2019-03-29,http://www.nintendolife.com/news/2019/03/security_researcher_avoids_prison_after_hacking_into_nintendos_network,,2019-03-29 03:45:00,Security Researcher Avoids Prison After Hacking Into Nintendo Network
2019-04-01,http://tv.zol.com.cn/713/7130626.html,http://m.zol.com.cn/article/7130626.html,2019-04-01 03:45:00,49元必买 ！ 任天堂发布Switch全新配件
2019-04-02,https://www.ign.com/articles/2019/04/02/best-nintendo-switch-deals-bundles-uk-2019,https://m.ign.com/articles/2019/04/02/best-nintendo-switch-deals-bundles-uk-2019,2019-04-02 12:45:00,The Best Nintendo Switch Deals and Bundles in the united kingdom for April 2019
2019-04-03,https://www.businesswire.com/news/home/20190402006087/en/Nintendo-News-NES-Games-Jump-Punch-Blast,,2019-04-03 01:30:00,"Nintendo News : Three NES Games Jump , Punch and Blast Their Way to Nintendo Switch Online in April"
2019-04-04,https://www.digitaltrends.com/gaming/nintendo-switch-ports-persona-5-metroid-prime-trilogy-zelda-link-to-the-past/,https://www.digitaltrends.com/gaming/nintendo-switch-ports-persona-5-metroid-prime-trilogy-zelda-link-to-the-past/?amp,2019-04-04 00:45:00,"Switch Ports of Persona 5 , Metroid , and A Link to the Past May be Coming"
2019-04-05,https://www.pulse.ng/bi/tech/nintendo-is-bringing-virtual-reality-to-super-mario-odyssey-and-the-legend-of-zelda/ky0s1q2,https://www.pulse.ng/bi/tech/nintendo-is-bringing-virtual-reality-to-super-mario-odyssey-and-the-legend-of-zelda/ky0s1q2.amp,2019-04-05 02:15:00,Nintendo is bringing virtual reality to  Super Mario Odyssey  and  The Legend of Zelda : Breath of the Wild  ( NTDOY ) 
2019-04-08,http://www.hinews.cn/news/system/2019/04/08/032068653.shtml,,2019-04-08 06:00:00,任天堂手游业务2019年第一季度收入8500万美元 - 新闻中心 - 南海网
2019-04-09,http://www.vgchartz.com/article/436864/super-mario-odyssey-screenshots-showcase-nintendo-labo-toy-con-04-vr-kit/,,2019-04-09 09:45:00,Super Mario Odyssey Screenshots Showcase Nintendo Labo Toy - Con 04 : VR Kit
2019-04-10,https://news.cnyes.com/news/id/4301131,https://m.cnyes.com/news/id/4301131,2019-04-10 11:30:00,任天堂Switch在日本即將突破800萬大關 ！ | 鉅亨網
2019-04-11,http://www.gamasutra.com/view/pressreleases/340573/YUMENIKKI_DREAM_DIARY_30_off_on_the_Nintendo_Switch.php,,2019-04-11 11:30:00,Gamasutra - Press Releases - YUMENIKKI - DREAM DIARY - 30 % off on the Nintendo Switch ! 
2019-04-12,https://www.gizbot.com/gaming/news/nintendo-labo-vr-coverts-switch-into-a-vr-headset-price-starts-at-rs-2774-059071.html,https://www.gizbot.com/amphtml/gaming/news/nintendo-labo-vr-coverts-switch-into-a-vr-headset-price-starts-at-rs-2774-059071.html,2019-04-12 09:00:00,"Nintendo Labo VR coverts Switch into a VR headset , price starts at Rs 2774"
2019-04-15,https://ec.ltn.com.tw/article/breakingnews/2758738,,2019-04-15 03:45:00,就算速度很慢 專家 ： 任天堂終究會逐步轉向手遊
2019-04-16,http://n4g.com/news/2256815/nintendo-goes-against-a-nintendo-switch-homebrew-modder-with-copyright-claims,,2019-04-16 05:00:00,Nintendo goes against a Nintendo Switch homebrew modder with  copyright claims  
2019-04-17,https://www.windowscentral.com/xbox-one-s-all-digital-vs-nintendo-switch,https://www.windowscentral.com/xbox-one-s-all-digital-vs-nintendo-switch?amp,2019-04-17 00:00:00,Xbox One S All - Digital vs . Nintendo Switch : Which console should you buy ? 
2019-04-18,https://www.fz.se/forum/post/3889134,,2019-04-18 07:00:00,"En historisk återblick , från Virtual Console till Nintendo Online"
2019-04-19,http://digi.163.com/19/0419/09/ED46LLSS001680P9.html,,2019-04-19 02:15:00,任天堂Switch将推出国行版 ： 由腾讯代理
2019-04-22,http://inews24.com/view/1173273,,2019-04-22 02:00:00,"닌텐도 , 中텐센트와 맞손 … 주가급등"
2019-04-23,https://techno.okezone.com/read/2019/04/22/326/2046628/intip-lebih-dekat-game-boy-yang-kini-capai-usia-30-tahun,https://techno.okezone.com/amp/2019/04/22/326/2046628/intip-lebih-dekat-game-boy-yang-kini-capai-usia-30-tahun,2019-04-23 03:30:00,Intip Lebih Dekat Game Boy yang kini Capai Usia 30 Tahun : Okezone techno
2019-04-24,https://www.polygon.com/2019/4/23/18513492/nintendo-switch-price-drop-hardware-update,https://www.polygon.com/platform/amp/2019/4/23/18513492/nintendo-switch-price-drop-hardware-update,2019-04-24 03:45:00,"Cheaper Nintendo Switch coming in June ,  modest  upgrade coming in 2019"
2019-04-25,https://www.liputan6.com/tekno/read/3949263/nintendo-bakal-rilis-switch-versi-murah-pertengahan-2019,https://m.liputan6.com/amp/3949263/nintendo-bakal-rilis-switch-versi-murah-pertengahan-2019,2019-04-25 04:45:00,Nintendo Bakal Rilis Switch Versi Murah Pertengahan 2019
2019-04-26,https://tech.sina.com.cn/mobile/n/n/2019-04-26/doc-ihvhiqax5110804.shtml,,2019-04-26 01:15:00,任天堂确认正与腾讯合作在中国发布Switch主机
2019-04-29,http://tech.caijing.com.cn/20190429/4584184.shtml,,2019-04-29 00:45:00,任天堂谈与腾讯合作原因 ： 有最大规模游戏市场 _ 要闻 _ 科技频道首页 _ 财经网 - CAIJING . COM . CN
2019-04-30,https://www.liputan6.com/tekno/read/3952862/nintendo-buka-uji-coba-beta-mario-kart-tour-untuk-android,https://m.liputan6.com/amp/3952862/nintendo-buka-uji-coba-beta-mario-kart-tour-untuk-android,2019-04-30 02:45:00,Nintendo Buka Uji Coba Beta Mario Kart Tour untuk Android
2019-05-01,https://www.phonandroid.com/nintendo-switch-la-mise-a-jour-8-0-0-inclut-un-mode-turbo-qui-booste-les-performances.html,https://www.phonandroid.com/nintendo-switch-la-mise-a-jour-8-0-0-inclut-un-mode-turbo-qui-booste-les-performances.html/amp,2019-05-01 09:45:00,Nintendo Switch : la mise à jour 8 . 0 . 0 inclut un mode turbo qui booste les performances
2019-05-02,https://www.fz.se/forum/post/3892845,,2019-05-02 00:00:00,Nintendo DS spel som jag önskar mig
2019-05-03,http://www.gamasutra.com/view/pressreleases/341964/RETURN_TO_THE_WORLD_OF_IVALICETHE_CURTAIN_LIFTS_ON_AN_EPIC_ADVENTURE_IN_FINAL_FANTASY_XII_THE_ZODIAC_AGE_OUT_NOW_ON_NINTENDO_SWITCH.php,,2019-05-03 00:00:00,"Gamasutra - Press Releases - RETURN TO THE WORLD OF IVALICE … THE CURTAIN LIFTS ON AN EPIC ADVENTURE IN FINAL FANTASY XII THE ZODIAC AGE , OUT NOW ON NINTENDO SWITCH"
2019-05-06,https://news.softpedia.com/news/windows-xp-on-the-nintendo-switch-is-a-real-thing-now-525892.shtml,,2019-05-06 07:45:00,Windows XP on the Nintendo Switch Is a Real Thing Now
2019-05-07,https://segmentnext.com/2019/05/07/devil-may-cry-switch-version-coming-summer-welcome-dante/,https://segmentnext.com/2019/05/07/devil-may-cry-switch-version-coming-summer-welcome-dante/amp/,2019-05-07 01:30:00,"Original Devil May Cry Switch Version Coming This Summer , Welcome Back Dante"
2019-05-08,https://www.businesswire.com/news/home/20190507006171/en/Nintendo-News-40-NES-Games-Play-Nintendo,,2019-05-08 01:30:00,Nintendo News : More Than 40 NES Games Now Available to Play on Nintendo Switch Online
2019-05-09,https://www.businesswire.com/news/home/20190509005367/en/Nintendo%E2%80%99s-Plans-E3-2019-Include-Nintendo-Direct,,2019-05-09 12:30:00,"Nintendo Plans for E3 2019 Include Nintendo Direct , Competitions , Nintendo Treehouse : Live"
2019-05-10,https://www.businesswire.com/news/home/20190509006008/en/Nintendo-News-Nintendo-Announces-Tetris%C2%AE-99-Big,,2019-05-10 01:30:00,Nintendo News : Nintendo Announces Tetris® 99 Big Block DLC and Upcoming 3rd MAXIMUS CUP
2019-05-13,http://www.nintendolife.com/forums/nintendo-switch/dont_starve_nintendo_switch_discussion,,2019-05-13 02:30:00,Dont starve Nintendo switch discussion - Nintendo Switch Forum
