date,Nikkei 225,Toyota Motor Corporation,Mitsubishi UFJ Financial Group,Sony Group Corporation,Hitachi Ltd.,"Nintendo Co., Ltd."
2019-01-01,64.42,47.72,73.39,71.82,75.16,54.07
2019-01-02,57.74,57.22,71.64,51.47,68.35,79.41
2019-01-03,79.3,76.57,79.79,57.76,51.91,52.57
2019-01-04,45.16,41.5,42.54,54.46,62.02,52.98
2019-01-05,71.69,77.42,52.88,74.43,58.09,67.05
2019-01-06,79.04,61.57,68.55,63.74,79.27,63.31
2019-01-07,69.46,41.65,72.16,53.67,54.39,66.55
2019-01-08,46.26,64.11,44.66,55.99,79.96,77.43
2019-01-09,44.9,51.71,45.11,78.7,52.65,68.46
2019-01-10,68.64,50.35,49.57,60.69,48.68,72.65
2019-01-11,50.28,76.45,71.61,52.72,44.32,62.79
2019-01-12,78.48,73.87,66.48,41.65,50.71,60.72
2019-01-13,67.74,46.83,45.54,45.78,68.59,41.29
2019-01-14,74.19,78.34,71.33,40.75,76.43,42.23
2019-01-15,75.78,52.76,70.01,43.39,74.26,40.38
2019-01-16,72.54,65.21,50.51,73.29,76.63,44.08
2019-01-17,72.31,73.27,58.49,56.73,71.23,56.54
2019-01-18,41.82,43.39,57.1,72.45,74.85,73.09
2019-01-19,65.03,70.77,65.57,54.67,58.44,43.24
2019-01-20,79.94,73.16,54.64,42.27,70.01,64.56
2019-01-21,68.66,57.4,48.86,54.35,59.92,78.35
2019-01-22,57.26,64.32,78.02,44.14,58.65,78.41
2019-01-23,67.64,55.65,57.45,64.84,50.52,45.29
2019-01-24,50.27,72.96,67.12,69.15,44.8,41.12
2019-01-25,78.16,48.89,44.28,57.73,54.49,67.77
2019-01-26,49.64,46.95,42.4,78.71,46.79,61.05
2019-01-27,49.79,71.23,76.97,75.81,57.87,42.73
2019-01-28,46.92,68.97,53.0,41.32,59.06,58.35
2019-01-29,63.25,74.5,57.87,62.6,66.92,61.26
2019-01-30,64.54,68.55,72.1,67.63,41.71,58.03
2019-01-31,44.91,43.44,74.44,53.69,44.27,42.47
2019-02-01,68.83,40.04,66.82,76.77,68.25,62.22
2019-02-02,52.77,73.08,54.14,79.93,41.7,74.26
2019-02-03,49.99,52.76,74.12,57.77,54.37,73.68
2019-02-04,53.79,76.72,58.41,66.43,74.49,46.64
2019-02-05,45.15,67.87,55.75,46.14,62.17,74.58
2019-02-06,63.96,43.33,47.71,73.14,61.5,47.94
2019-02-07,46.56,43.1,52.32,52.67,79.99,56.7
2019-02-08,54.66,70.45,63.14,65.34,48.56,49.06
2019-02-09,61.03,63.98,71.65,57.27,48.32,77.8
2019-02-10,66.88,40.27,59.41,43.89,58.29,71.24
2019-02-11,54.75,52.92,69.04,58.81,51.85,73.02
2019-02-12,56.43,50.08,51.95,49.27,62.2,67.79
2019-02-13,78.2,58.97,70.62,65.18,62.95,64.64
2019-02-14,42.61,65.33,71.07,56.78,71.2,66.17
2019-02-15,40.51,60.63,79.95,57.2,71.67,45.69
2019-02-16,54.46,58.91,69.81,42.49,52.14,53.94
2019-02-17,42.25,41.47,70.99,66.9,68.55,58.94
2019-02-18,68.12,60.85,42.67,52.72,51.64,73.39
2019-02-19,79.94,58.23,59.16,63.12,54.2,62.39
2019-02-20,50.1,76.13,78.82,55.85,50.45,62.92
2019-02-21,77.27,45.03,60.69,79.41,59.69,78.65
2019-02-22,43.2,60.52,45.77,61.51,60.25,60.04
2019-02-23,59.87,57.83,57.2,43.86,72.8,72.58
2019-02-24,51.89,67.51,77.28,70.39,63.68,71.79
2019-02-25,49.85,40.44,50.01,66.01,71.89,61.19
2019-02-26,49.33,58.31,70.17,54.57,60.5,71.04
2019-02-27,71.3,67.92,70.03,49.55,76.16,72.12
2019-02-28,41.71,70.07,62.11,70.59,55.27,72.51
2019-03-01,47.67,74.41,57.96,71.29,70.4,78.05
2019-03-02,61.58,66.16,44.23,63.25,79.16,40.72
2019-03-03,58.98,69.76,47.19,75.9,46.04,52.52
2019-03-04,78.29,71.43,68.27,40.75,59.94,60.5
2019-03-05,44.36,66.14,50.43,49.93,47.68,54.91
2019-03-06,53.23,75.21,78.86,73.03,76.54,76.97
2019-03-07,54.98,45.39,46.57,42.05,62.54,70.98
2019-03-08,75.29,55.01,40.38,53.33,70.58,58.37
2019-03-09,74.74,48.29,42.95,70.98,44.37,68.73
2019-03-10,75.23,62.37,68.89,54.8,57.21,74.47
2019-03-11,63.26,43.89,47.16,60.06,40.26,48.31
2019-03-12,60.42,52.54,48.7,68.92,42.37,58.06
2019-03-13,78.64,42.05,62.92,48.34,49.28,52.42
2019-03-14,44.23,65.35,60.76,44.18,40.74,45.71
2019-03-15,72.73,50.09,59.53,58.98,75.62,41.15
2019-03-16,73.34,79.3,42.57,72.11,41.12,56.75
2019-03-17,64.86,79.21,77.7,43.01,79.71,66.96
2019-03-18,71.21,49.85,58.62,40.88,47.79,73.31
2019-03-19,46.67,79.57,43.8,78.23,61.01,79.81
2019-03-20,70.82,70.99,63.35,63.66,46.16,53.39
2019-03-21,63.51,48.83,62.16,61.37,62.71,69.19
2019-03-22,76.65,66.76,77.94,70.47,61.9,75.7
2019-03-23,79.2,57.38,52.24,50.15,44.58,55.11
2019-03-24,72.97,76.6,63.16,77.55,75.74,49.5
2019-03-25,50.78,68.39,42.83,48.52,78.32,44.53
2019-03-26,44.85,76.76,57.08,60.03,77.76,66.46
2019-03-27,41.41,44.57,47.67,73.65,42.49,62.06
2019-03-28,51.97,59.85,41.66,79.56,58.01,79.23
2019-03-29,77.44,69.7,49.64,74.67,51.13,70.39
2019-03-30,61.26,44.51,52.22,69.32,71.49,59.62
2019-03-31,61.16,77.26,77.84,55.84,45.82,55.72
2019-04-01,46.78,66.38,50.05,41.35,42.07,56.33
2019-04-02,78.83,52.24,69.04,55.84,52.35,54.24
2019-04-03,43.69,72.34,43.87,54.61,41.07,40.55
2019-04-04,59.06,51.04,65.54,64.93,64.6,67.62
2019-04-05,48.23,48.85,41.59,52.61,50.76,41.41
2019-04-06,72.69,40.97,70.33,53.38,47.26,61.97
2019-04-07,55.2,60.47,51.55,44.76,51.21,55.16
2019-04-08,67.48,62.59,79.37,74.76,50.35,57.01
2019-04-09,62.81,56.47,63.53,75.84,55.47,56.01
2019-04-10,62.15,60.19,62.27,45.76,67.68,62.88
2019-04-11,78.84,78.11,57.55,79.7,64.96,49.17
2019-04-12,41.76,43.43,63.33,62.01,60.88,75.01
2019-04-13,40.9,69.17,71.34,66.29,47.03,76.77
2019-04-14,48.68,52.52,74.09,73.59,65.89,61.67
2019-04-15,43.79,43.23,56.78,67.54,45.86,71.18
2019-04-16,46.53,60.97,53.1,51.66,41.1,40.29
2019-04-17,67.72,48.46,41.91,76.31,58.33,73.98
