Date,Close,High,Low,Open,Volume,Toyota Motor Corporation,Title_Sentiment
2019-01-04,1032.7020263671875,1034.9803246731888,1002.5964666086121,1005.6884286918721,50059500,41.5,0.0
2019-01-07,1065.2486572265625,1077.6164071615456,1054.1828488920403,1056.9493258067205,38386000,41.65,0.3182
2019-01-08,1078.2672119140625,1088.1939697202095,1071.4325155555725,1075.663527522656,39896500,64.11,-0.5267
2019-01-09,1086.5667724609375,1092.750598125324,1078.7556190257017,1092.2624196589102,27472000,51.71,0.0
2019-01-10,1090.9605712890625,1092.587899050935,1078.4301276578028,1078.9183061215238,31702000,50.35,0.2023
2019-01-11,1110.0001220703125,1112.4411134831553,1095.0287875309,1095.1914805620784,39476500,76.45,0.0
2019-01-15,1121.554443359375,1123.6699498302005,1101.37553704331,1106.5830063497992,35381000,52.76,0.0
2019-01-16,1113.7431640625,1116.6723341798318,1108.8611807588786,1114.7195209935423,33168500,65.21,0.0
2019-01-17,1104.95556640625,1116.67234632724,1100.8872469423095,1109.8375497629786,26238000,73.27,0.4767
2019-01-18,1106.25732421875,1113.4176056577082,1106.0946311823093,1109.837464938229,33136000,43.39,0.0
2019-01-21,1109.3492431640625,1119.7640801943296,1107.72191556644,1112.6038983593073,28318000,57.4,0.5423
2019-01-22,1103.9791259765625,1116.5094695185321,1101.5381344827972,1109.8374658319196,25948500,64.32,0.0
2019-01-23,1093.5643310546875,1111.3022446065388,1093.5643310546875,1107.5593110379054,30015000,55.65,0.0
2019-01-24,1094.3778076171875,1099.9107611697625,1086.4038626721579,1092.424994638385,26966500,72.96,0.4767
2019-01-25,1100.7244873046875,1105.2809849638127,1090.960521181905,1093.726898790667,27567000,48.89,0.25
2019-01-28,1088.5196533203125,1101.375483914702,1088.5196533203125,1096.818985737903,24310000,68.97,0.8074
2019-01-29,1086.4039306640625,1086.4039306640625,1075.012636786357,1076.3145784031692,23190500,74.5,0.0
2019-01-30,1080.3828125,1087.0548158014396,1076.1517012272154,1086.5666373957088,24673500,68.55,0.0
2019-01-31,1086.2412109375,1095.1915130500936,1082.8238625878253,1092.26234313263,22237000,43.44,0.0
2019-02-01,1082.9864501953125,1088.844789459932,1077.7789823355463,1080.8709443122104,19043500,40.04,0.2023
2019-02-04,1094.540771484375,1096.493584946389,1086.56692389046,1087.055102424909,20184000,76.72,0.0
2019-02-05,1098.7716064453125,1105.2809167923533,1096.4933080941707,1104.1417676167823,19021000,67.87,0.0
2019-02-06,1090.7977294921875,1107.3964917760065,1082.1729126099108,1098.7716748937298,40496000,43.33,0.0
2019-02-07,1069.9681396484375,1083.9631204525554,1057.9258729478026,1077.616600967802,34866500,43.1,0.0772
2019-02-08,1049.4637451171875,1058.7394341811723,1046.3717825463877,1057.7630772241866,34998500,70.45,0.4404
2019-02-12,1074.8499755859375,1076.3146102861372,1052.555565614318,1054.1828933593385,30961000,50.08,-0.4215
2019-02-13,1078.1044921875,1085.1019807247844,1074.3616587209701,1082.1728110259432,24272000,58.97,-0.4019
2019-02-14,1076.96533203125,1084.7764842563204,1074.3616477309563,1083.6374344525602,22267500,65.33,0.1779
2019-02-15,1074.8499755859375,1080.0574442348434,1071.269834682052,1078.9182949484884,20292500,60.63,0.5574
2019-02-18,1082.9864501953125,1086.8920759211842,1080.3827659275235,1084.776470713894,21668000,60.85,0.4767
2019-02-19,1089.8212890625,1090.3094674666766,1077.4535399862732,1077.4535399862732,18622000,58.23,0.6808
2019-02-20,1104.95556640625,1105.4437448770816,1088.031317706575,1088.194110079656,26063500,76.13,0.5267
2019-02-21,1095.354248046875,1107.8846913493612,1095.354248046875,1106.5828490388617,28564000,45.03,0.4767
2019-02-22,1093.5643310546875,1093.7270241123624,1085.2649986290462,1085.590384744396,18797000,60.52,0.6369
2019-02-25,1102.3519287109375,1102.5146217667543,1093.401625508403,1096.8189742742322,19767000,40.44,0.0
2019-02-26,1105.7691650390625,1107.3964927285977,1101.2126673732043,1106.58282888383,23763500,58.31,0.7579
2019-02-27,1103.3282470703125,1107.3965665654096,1103.3282470703125,1105.7692387673708,24596500,67.92,0.13648327376697644
2019-02-28,1089.8212890625,1100.7244036020052,1089.0076252808085,1100.073432846975,26775000,70.07,0.5994
2019-03-01,1088.356689453125,1097.4697836950415,1088.356689453125,1096.005149111317,23470000,74.41,0.0
2019-03-04,1078.5928955078125,1097.632651507024,1076.4773891355026,1097.632651507024,25200000,71.43,0.4019
2019-03-05,1075.33837890625,1078.2675495949584,1069.6427306076744,1075.9893498700626,21431000,66.14,0.3182
2019-03-06,1073.059814453125,1076.6398555645821,1069.1541886462026,1074.8498350088535,21739500,75.21,0.5106
2019-03-07,1071.4324951171875,1079.243647466596,1067.6895623051748,1073.2225156866093,21888500,45.39,0.25
2019-03-08,1062.8077392578125,1072.5717059917354,1060.8550253703927,1061.505896891464,28584000,55.01,0.4215
2019-03-11,1070.130859375,1074.361971794459,1061.9942193270629,1063.2961611941082,11708000,43.89,0.0
2019-03-12,1078.5928955078125,1083.9630576295874,1075.989210637925,1079.4065594451788,13746000,52.54,0.4215
2019-03-13,1068.9915771484375,1082.0101983987802,1063.4586233873629,1078.1045722939982,16452000,42.05,0.0
2019-03-14,1067.52685546875,1082.0101101582916,1066.2250133147236,1075.1753146944159,15058500,65.35,0.0
2019-03-15,1076.4774169921875,1082.9867286595627,1070.6190762212352,1072.8972757102883,38923500,50.09,0.25
2019-03-18,1080.3828125,1082.3355261229242,1075.338037442933,1079.243663337166,9724500,49.85,0.0
2019-03-19,1086.4039306640625,1090.4722499061002,1082.1729183820235,1087.0549014724686,11871500,79.57,0.7096
2019-03-20,1093.726806640625,1094.5404704156363,1086.7293180403653,1089.4957947402422,19704000,70.99,0.0
2019-03-22,1098.9345703125,1100.2364128379154,1089.4960878479662,1093.8898932799339,24015500,66.76,0.0
2019-03-25,1076.314697265625,1081.3593739531789,1072.5717636902405,1081.1966808952104,19129500,68.39,0.0
2019-03-26,1096.65625,1097.3071215289483,1072.409025920966,1074.1990467808328,21108000,76.76,0.0
2019-03-27,1096.65625,1107.7569344784993,1089.6975410303266,1104.9404032674877,19713500,44.57,0.2732
2019-03-28,1080.25341796875,1094.0050900277276,1077.7681723752637,1093.0110322402938,16400500,59.85,-0.128
2019-03-29,1074.7861328125,1089.531865882002,1074.7861328125,1087.5437498725764,22738000,69.7,0.1531
2019-04-01,1099.3072509765625,1107.59140509093,1086.383990783135,1088.703493260201,23638500,66.38,0.0
2019-04-02,1109.7449951171875,1112.3959844641922,1103.4490597460197,1109.9107388341336,17204000,52.24,0.2023
2019-04-03,1114.88134765625,1117.0352072044402,1104.4432340094029,1111.070556388397,14111000,72.34,0.0
2019-04-04,1120.5145263671875,1124.6566029108521,1116.5381935602188,1118.3606667894649,13805000,51.04,0.6908
2019-04-05,1133.2720947265625,1133.2720947265625,1121.3428945570902,1123.1654688346673,24084000,48.85,0.3182
2019-04-08,1126.1475830078125,1135.0944060154216,1120.514319498472,1134.928763434222,13072000,62.59,0.2023
2019-04-09,1130.289794921875,1132.1122680341607,1123.9938592045405,1126.6447475723942,10258500,56.47,0.3818
2019-04-10,1125.319091796875,1128.3013659311866,1121.1770162978619,1125.1533481019806,10863000,60.19,0.3818
2019-04-11,1120.18310546875,1127.1418140724613,1117.6978596192039,1125.4849835060973,10856500,78.11,0.0
2019-04-12,1124.822265625,1126.147709798516,1119.851774130634,1124.159492975788,17248500,43.43,0.0
2019-04-15,1131.781005859375,1134.5976382622625,1123.1655671563124,1124.988040468517,23865000,43.23,0.0
2019-04-16,1129.1300048828125,1135.922969597954,1127.804560685335,1130.786835410887,17310500,60.97,0.0
2019-04-17,1151.9940185546875,1152.1597622497252,1139.7335357419624,1141.0589796778124,27714500,48.46,0.0258
2019-04-18,1155.8048095703125,1173.0358856283724,1151.994119997347,1159.4498565585443,31645000,62.35,0.0
2019-04-19,1152.82275390625,1159.7814629086859,1146.5268176183008,1157.4618595329011,14639000,53.3,0.5095
2019-04-22,1153.651123046875,1157.958943268724,1147.8522159645088,1156.3021126737622,10860000,41.08,0.0
2019-04-23,1158.6214599609375,1158.952846260617,1149.1775066070288,1158.124431073869,17455000,62.2,0.0
2019-04-24,1141.7218017578125,1158.9528785725408,1138.9052709442637,1158.9528785725408,21886000,52.46,0.25
2019-04-25,1143.378662109375,1149.8403413652807,1140.7277738184375,1143.2130195130312,16816000,40.91,0.0
2019-04-26,1144.0418701171875,1146.527116757558,1131.1186078122503,1134.763656443116,19997000,63.41,0.0
2019-05-07,1130.621337890625,1138.9054915940294,1122.668469435418,1135.7574727367664,29029000,60.38,0.6369
2019-05-08,1119.851806640625,1143.2130768923741,1107.5912201486262,1114.052899728852,55404000,78.95,0.0
2019-05-09,1084.3956298828125,1110.573533190524,1084.3956298828125,1110.0765042345063,42560500,56.39,0.3612
2019-05-10,1083.070068359375,1096.324711750954,1077.2711618755593,1088.8689748431907,32391000,54.33,0.0
2019-05-13,1084.3956298828125,1090.8573096857854,1078.9281091167898,1083.235828235495,19310500,42.29,0.0
