QueryDate,URL,MobileURL,Date,Title
2019-01-01,https://stateofreform.com/uncategorized/2018/12/over-300-organizations-coming-to-state-of-reform-in-seattle/,,2019-01-01 03:45:00,Over 300 organizations coming to State of Reform in Seattle - State of Reform
2019-01-02,https://newsleading.info/2019/01/astrazeneca-plc-azn-stock-established-at-37-98/,,2019-01-02 09:45:00,AstraZeneca PLC ( AZN ) stock established at $37 . 98 – News Leading
2019-01-03,https://www.nbcnews.com/business/business-news/defying-trump-drugmakers-hike-prescription-drug-prices-2019-n953756?cid=public-rss_20190103,https://www.nbcnews.com/news/amp/ncna953756,2019-01-03 03:45:00,"Defying Trump , drugmakers hike prescription drug prices for 2019"
2019-01-04,https://www.thetimes.co.uk/edition/news/asthma-drug-benralizumab-or-fasenra-has-power-to-change-lives-of-sufferers-6ppr93x6k,,2019-01-04 00:45:00,Asthma drug Fasenra  has power to change lives of sufferer | News
2019-01-07,https://markets.businessinsider.com/news/stocks/sosei-heptares-to-receive-us-15-mln-milestone-payment-from-astrazeneca-1027846335,https://markets.businessinsider.com/amp/news/Sosei-Heptares-To-Receive-US-15-Mln-Milestone-Payment-From-AstraZeneca-1027846335,2019-01-07 08:45:00,Sosei Heptares To Receive US$15 Mln Milestone Payment From AstraZeneca
2019-01-08,https://www.thetimes.co.uk/edition/business/astrazeneca-defends-controversial-hire-of-jos-baselga-9gv56dkx3,,2019-01-08 01:45:00,Astrazeneca defends controversial hire of José Baselga
2019-01-09,https://www.prnewswire.com/news-releases/the-global-cancer-immunotherapy-market-size-is-expected-to-reach-128-3-billion-by-2024--rising-at-a-market-growth-of-14-3-cagr-during-the-forecast-period-300775029.html,,2019-01-09 00:45:00,"The Global Cancer Immunotherapy Market size is expected to reach $128 . 3 billion by 2024 , rising at a market growth of 14 . 3 % CAGR during the forecast period"
2019-01-10,http://www.timescall.com/business/ci_32374583/astrazeneca-laying-off-200-plus-boulder-longmont,,2019-01-10 01:45:00,"AstraZeneca laying off 200 - plus in Boulder , Longmont"
2019-01-11,https://www.sanluisobispo.com/news/business/article224233825.html,https://sanluisobispo.relaymedia.com/amp/news/business/article224233825.html,2019-01-11 00:30:00,| The Tribune
2019-01-14,https://www.bostonglobe.com/business/2019/01/13/astrazeneca-departures-continue-medical-chief-exits/DffBPsZOKGHzDcIABSusGK/story.html,https://www.bostonglobe.com/business/2019/01/13/astrazeneca-departures-continue-medical-chief-exits/DffBPsZOKGHzDcIABSusGK/amp.html,2019-01-14 02:00:00,AstraZeneca departures continue as medical chief exits
2019-01-15,https://www.investors.com/news/technology/pharmaceutical-companies-drug-prices/,,2019-01-15 00:00:00,Pharmaceutical Companies Targeted In Drug Price Probe | Investor Business Daily
2019-01-16,https://www.marketscreener.com/LUYE-PHARMA-GROUP-LTD-16860092/news/Luye-Pharma-VOLUNTARY-ANNOUNCEMENT-THE-GRANT-OF-PROMOTION-RIGHT-OF-XUEZHIKANG-CAPSULES-IN-MAINLA-27871912/,https://www.marketscreener.com/amp/LUYE-PHARMA-GROUP-LTD-16860092/news/Luye-Pharma-VOLUNTARY-ANNOUNCEMENT-THE-GRANT-OF-PROMOTION-RIGHT-OF-XUEZHIKANG-CAPSULES-IN-MAINLA-27871912/,2019-01-16 04:15:00,Luye Pharma : VOLUNTARY ANNOUNCEMENT - THE GRANT OF PROMOTION RIGHT OF XUEZHIKANG CAPSULES IN MAINLAND CHINA TO ASTRAZENECA
2019-01-17,https://www.prnewswire.com:443/news-releases/astrazeneca-lebanon-recognized-as-the-best-place-to-work-in-lebanon-for-2018-850071447.html,,2019-01-17 05:30:00,AstraZeneca Lebanon Recognized as the Best Place To Work in Lebanon for 2018
2019-01-18,https://www.beckershospitalreview.com/pharmacy/5-recent-pharma-layoffs-1-17-19.html,,2019-01-18 02:30:00,5 recent pharma layoffs
2019-01-21,https://www.fairfieldcurrent.com/news/2019/01/20/financial-analysis-heron-therapeutics-hrtx-and-astrazeneca-azn.html,https://www.fairfieldcurrent.com/news/2019/01/20/financial-analysis-heron-therapeutics-hrtx-and-astrazeneca-azn.html/amp,2019-01-21 09:00:00,Financial Comparison : Heron Therapeutics ( HRTX ) vs . AstraZeneca ( AZN ) 
2019-01-22,https://fox4kc.com/2019/01/21/flu-shot-may-be-more-effective-than-nasal-vaccine-study-says/,https://fox4kc.com/2019/01/21/flu-shot-may-be-more-effective-than-nasal-vaccine-study-says/amp/,2019-01-22 03:00:00,"Flu shot may be more effective than nasal vaccine , study says"
2019-01-23,https://www.marketwatch.com/press-release/biohaven-receives-fda-may-proceed-letter-for-phase-3-clinical-trial-of-bhv-3241-for-multiple-system-atrophy-2019-01-23,,2019-01-23 08:30:00,Biohaven Receives FDA May Proceed Letter For Phase 3 Clinical Trial Of BHV - 3241 For Multiple System Atrophy
2019-01-24,https://www.prnewswire.com:443/news-releases/sobi-completes-acquisition-of-synagis-us-rights-from-astrazeneca-and-exercises-authorisation-to-issue-shares-300783540.html,,2019-01-24 07:45:00,Sobi™ Completes Acquisition of Synagis® US Rights From AstraZeneca and Exercises Authorisation to Issue Shares
2019-01-25,https://www.openpr.com/news/1532037/PARP-Inhibitors-Market-Size-Value-Volume-Future-Trends-Opportunities-and-Sales-Channels-Forecast-2027.html,,2019-01-25 06:00:00,"PARP Inhibitors Market Size ( Value & Volume ), Future Trends , Opportunities and Sales Channels , Forecast 2027"
2019-01-28,https://news.yahoo.com/worried-astrazeneca-pharma-india-limited-053056839.html,https://finance.yahoo.com/amphtml/news/worried-astrazeneca-pharma-india-limited-053056839.html,2019-01-28 06:15:00,Should You Be Worried About AstraZeneca Pharma India Limited ( NSE : ASTRAZEN ) 3 . 1 % Return On Equity ? 
2019-01-29,http://www.pmlive.com/pharma_news/q_and_a_pernille_laerkegaard_hansen_1274926,,2019-01-29 01:15:00,Q & A : Pernille Laerkegaard Hansen
2019-01-30,https://www.cnbc.com/2019/01/30/reuters-america-update-2-roche-drops-alzheimer-drug-trials-after-setback.html,https://www.cnbc.com/amp/2019/01/30/reuters-america-update-2-roche-drops-alzheimer-drug-trials-after-setback.html,2019-01-30 08:30:00,UPDATE 2 - Roche drops Alzheimer drug trials after setback
