date,FTSE 100,AstraZeneca PLC,HSBC Holdings PLC,Linde PLC,Shell PLC,Unilever PLC
2019-01-01,63.87,48.72,41.0,58.57,46.23,62.46
2019-01-02,60.67,72.95,64.25,43.38,48.25,40.86
2019-01-03,51.61,71.26,74.8,61.25,53.91,49.69
2019-01-04,53.96,64.07,64.27,79.23,55.24,60.94
2019-01-05,77.62,72.79,58.96,69.64,41.73,68.32
2019-01-06,60.14,78.09,67.16,79.96,72.13,71.54
2019-01-07,53.7,74.41,69.61,64.76,51.94,59.38
2019-01-08,40.33,40.27,73.02,67.35,57.73,79.3
2019-01-09,48.67,75.82,79.72,59.73,60.92,60.84
2019-01-10,48.19,72.57,69.68,75.97,48.69,40.78
2019-01-11,43.22,42.73,51.64,43.86,63.0,55.71
2019-01-12,67.41,50.47,75.58,47.09,51.78,47.85
2019-01-13,57.31,63.4,70.72,57.62,58.66,51.8
2019-01-14,44.24,46.49,60.24,44.03,75.49,55.36
2019-01-15,60.38,53.71,75.6,42.21,54.36,71.43
2019-01-16,50.5,72.29,43.4,69.11,56.82,43.72
2019-01-17,76.39,54.34,46.12,73.55,43.55,68.79
2019-01-18,70.29,74.54,76.72,40.59,53.07,57.07
2019-01-19,41.95,49.22,59.82,52.86,58.05,66.73
2019-01-20,46.32,44.09,56.51,60.83,44.15,44.85
2019-01-21,61.22,48.3,71.51,78.92,46.46,40.79
2019-01-22,52.14,78.32,55.71,44.13,76.26,46.19
2019-01-23,48.2,60.4,57.4,78.9,68.72,70.32
2019-01-24,48.95,48.68,42.29,52.06,67.56,47.08
2019-01-25,70.59,59.68,74.45,72.31,67.99,66.95
2019-01-26,64.34,78.74,42.85,45.71,67.32,70.7
2019-01-27,79.52,66.57,43.09,58.68,48.24,79.5
2019-01-28,62.3,67.65,40.81,55.07,69.74,76.98
2019-01-29,50.09,63.0,68.08,48.19,65.36,60.09
2019-01-30,65.19,63.63,58.19,58.86,49.41,72.93
2019-01-31,74.13,44.21,40.72,70.56,73.65,72.19
2019-02-01,43.83,73.88,55.59,70.3,42.83,60.93
2019-02-02,62.08,77.42,67.65,52.64,78.64,61.66
2019-02-03,57.21,46.34,60.53,72.85,69.54,74.14
2019-02-04,52.19,69.14,57.83,57.23,61.47,43.35
2019-02-05,74.5,51.98,40.86,75.97,51.04,57.8
2019-02-06,45.98,50.79,46.55,57.96,78.83,74.8
2019-02-07,72.11,79.82,44.46,51.76,57.88,64.63
2019-02-08,59.06,77.39,75.86,73.83,56.81,46.55
2019-02-09,55.25,56.65,79.06,64.57,51.97,62.93
2019-02-10,60.92,61.25,75.94,72.75,54.51,69.46
2019-02-11,78.86,49.33,46.68,78.65,77.88,42.17
2019-02-12,62.63,45.93,40.51,59.0,60.67,55.13
2019-02-13,46.43,56.98,56.31,53.24,68.64,53.64
2019-02-14,48.2,44.86,79.82,55.7,45.71,77.1
2019-02-15,54.29,48.77,52.31,73.04,67.72,61.96
2019-02-16,61.5,73.18,53.71,58.19,44.66,68.48
2019-02-17,66.98,69.17,54.59,72.64,66.51,48.23
2019-02-18,56.19,47.65,61.69,67.12,50.7,74.97
2019-02-19,58.38,64.67,50.13,40.01,79.73,74.36
2019-02-20,65.52,58.47,66.48,66.11,41.48,72.0
