QueryDate,URL,MobileURL,Date,Title
2019-01-01,https://theenterpriseleader.com/2018/12/31/washington-federal-inc-wafd-position-raised-by-renaissance-technologies-llc.html,https://theenterpriseleader.com/2018/12/31/washington-federal-inc-wafd-position-raised-by-renaissance-technologies-llc.html/amp,2019-01-01 00:45:00,Washington Federal Inc . ( WAFD ) Position Raised by Renaissance Technologies LLC
2019-01-02,https://www.dailypolitical.com/2019/01/01/financial-contrast-hmn-financial-hmnf-and-hsbc-hsbc.html,https://www.dailypolitical.com/2019/01/01/financial-contrast-hmn-financial-hmnf-and-hsbc-hsbc.html/amp,2019-01-02 07:00:00,Financial Contrast : HMN Financial ( HMNF ) and HSBC ( HSBC ) 
2019-01-03,https://finance.yahoo.com/news/world-largest-cigarette-maker-plans-051847165.html,https://www.yahoo.com/amphtml/finance/news/world-largest-cigarette-maker-plans-051847165.html,2019-01-03 02:00:00,World Largest Cigarette Maker Plans IPO for Its International Business
2019-01-04,https://theenterpriseleader.com/2019/01/03/tiaa-cref-investment-management-llc-cuts-holdings-in-belmond-ltd-bel.html,https://theenterpriseleader.com/2019/01/03/tiaa-cref-investment-management-llc-cuts-holdings-in-belmond-ltd-bel.html/amp,2019-01-04 00:30:00,TIAA CREF Investment Management LLC Cuts Holdings in Belmond Ltd ( BEL ) 
2019-01-07,http://businessweekme.com/kuwait-kia-sees-no-conflict-of-interest-in-kfh-aub-merger/,,2019-01-07 06:15:00,Kuwait KIA Sees No Conflict of Interest in KFH - AUB Merger - Bloomberg Businessweek Middle East
2019-01-08,http://www.thestandard.com.hk/section-news.php?id=203907,,2019-01-08 00:45:00,Towngas lights way in sustainability
2019-01-09,https://www.tickerreport.com/banking-finance/4065070/corporate-office-properties-trust-ofc-upgraded-at-robert-w-baird.html,https://www.tickerreport.com/banking-finance/4065070/corporate-office-properties-trust-ofc-upgraded-at-robert-w-baird.html/amp,2019-01-09 06:15:00,Corporate Office Properties Trust ( OFC ) Upgraded at Robert W . Baird
2019-01-10,https://www.investegate.co.uk/hsbc-etfs-plc/rns/dividend-declaration/201901100911257441M/,,2019-01-10 09:30:00,FE Investegate |HSBC ETFs PLC Announcements | HSBC ETFs PLC : Dividend Declaration
2019-01-11,https://www.morningstar.co.uk/uk/news/AN_1547143890141609200/director-dealings-hsbc-ceo-john-flint-and-wife-purchase-shares.aspx,,2019-01-11 00:45:00,DIRECTOR DEALINGS : HSBC CEO John Flint And Wife ... 
2019-01-14,https://www.afr.com/business/banking-and-finance/private-equity/saudis-set-for-11b-assetsale-blitz-after-slow-start-20190114-h1a1gl,https://amp.afr.com/business/banking-and-finance/private-equity/saudis-set-for-11b-assetsale-blitz-after-slow-start-20190114-h1a1gl,2019-01-14 02:15:00,Saudis set for $11b asset - sale blitz after slow start
2019-01-15,https://www.themarketsdaily.com/2019/01/15/proshares-ultrapro-short-qqq-sqqq-shares-gap-up-to-14-50.html,https://www.themarketsdaily.com/2019/01/15/proshares-ultrapro-short-qqq-sqqq-shares-gap-up-to-14-50.html/amp,2019-01-15 02:15:00,ProShares UltraPro Short QQQ ( SQQQ ) Shares Gap Up to $14 . 50
2019-01-16,https://www.themarketsdaily.com/2019/01/16/hsbc-holdings-plc-hsbc-position-trimmed-by-180-wealth-advisors-llc.html,https://www.themarketsdaily.com/2019/01/16/hsbc-holdings-plc-hsbc-position-trimmed-by-180-wealth-advisors-llc.html/amp,2019-01-16 01:00:00,HSBC Holdings plc ( HSBC ) Position Trimmed by 180 Wealth Advisors LLC
2019-01-17,https://www.fxstreet.com/news/chinas-stealth-easing-spreading-out-bloomberg-201901170254,https://www.fxstreet.com/amp/news/chinas-stealth-easing-spreading-out-bloomberg-201901170254,2019-01-17 03:30:00,China  stealth easing  spreading out
2019-01-18,https://finheadlines.com/2019/01/17/as-pepsico-pep-share-price-rose-holder-benin-management-has-trimmed-by-424686-its-holding-hsbc-hldgs-plc-spon-adr-new-hsbc-shareholder-whittier-trust-co-of-nevada-trimmed-its-posi/,,2019-01-18 00:00:00,"As Pepsico ( PEP ) Share Price Rose , Holder Benin Management Has Trimmed by $424 , 686 Its Holding ; Hsbc Hldgs Plc Spon Adr New ( HSBC ) Shareholder Whittier Trust Co Of Nevada Trimmed Its Position by $713 , 929 as Shares Declined"
2019-01-21,https://www.afr.com/markets/equity-markets/central-banks-window-to-restock-ammunition-is-closing-20190121-h1ab18,https://amp.afr.com/markets/equity-markets/central-banks-window-to-restock-ammunition-is-closing-20190121-h1ab18,2019-01-21 08:00:00,Central bank window to restock ammunition is closing
2019-01-22,https://news.yahoo.com/beware-junk-bond-rally-beijing-023653139.html,https://finance.yahoo.com/amphtml/news/beware-junk-bond-rally-beijing-023653139.html,2019-01-22 04:15:00,Beware a Junk - Bond Rally That Beijing Hasnt Blessed
2019-01-23,https://asia.nikkei.com/Business/Markets/Nikkei-Markets/Hong-Kong-stocks-waver-on-renewed-trade-concerns,,2019-01-23 06:00:00,Hong Kong stocks waver on renewed trade concerns - Nikkei Asian Review
2019-01-24,http://www.theedgemarkets.com/article/top-business-leaders-use-davos-dinner-air-china-grievances,,2019-01-24 03:15:00,Top business leaders use Davos dinner to air China grievances
2019-01-25,https://www.washingtonpost.com/business/all-about-the-uk-china-plan-to-link-stock-markets/2019/01/24/9c632190-2043-11e9-a759-2b8541bbbe20_story.html,,2019-01-25 02:30:00,All About the U . K .- China Plan to Link Stock Markets - The Washington Post
2019-01-28,https://www.dailypolitical.com/2019/01/27/fy2018-earnings-forecast-for-manulife-financial-co-mfc-issued-by-national-bank-financial.html,https://www.dailypolitical.com/2019/01/27/fy2018-earnings-forecast-for-manulife-financial-co-mfc-issued-by-national-bank-financial.html/amp,2019-01-28 06:45:00,FY2018 Earnings Forecast for Manulife Financial Co . ( MFC ) Issued By National Bank Financial
2019-01-29,https://www.thehindu.com/news/international/us-charges-chinas-huawei-with-conspiring-to-violate-iran-sanctions/article26117308.ece,https://www.thehindu.com/news/international/us-charges-chinas-huawei-with-conspiring-to-violate-iran-sanctions/article26117308.ece/amp/,2019-01-29 03:15:00,U . S . charges China Huawei with conspiring to violate Iran sanctions
2019-01-30,https://finance.yahoo.com/news/where-europe-apos-biggest-fund-001835698.html,https://finance.yahoo.com/amphtml/news/where-europe-apos-biggest-fund-001835698.html,2019-01-30 02:15:00,Where Europe Biggest Fund Manager Is Putting Its Cash ( And Where It Avoiding ) 
2019-01-31,https://www.businesstimes.com.sg/banking-finance/where-europes-biggest-fund-manager-is-putting-its%C2%A0cash,https://www.businesstimes.com.sg/banking-finance/where-europes-biggest-fund-manager-is-putting-its%C2%A0cash?amp,2019-01-31 00:00:00,Where Europe biggest fund manager is putting its cash
2019-02-01,https://finance.yahoo.com/news/exxon-speaks-ceo-first-earnings-195021853.html,https://finance.yahoo.com/amphtml/news/exxon-speaks-ceo-first-earnings-195021853.html,2019-02-01 02:45:00,Exxon Speaks ! CEO Will Be on First Earnings Call in 15 Years
2019-02-04,https://www.marketwatch.com/story/hsbc-goldman-back-uk-open-banking-startup-bud-2019-02-04,https://www.marketwatch.com/amp/story/guid/87514AF4-CDA1-4F94-967B-1F25553408ED,2019-02-04 08:15:00,"HSBC , Goldman back U . K . open - banking startup Bud"
2019-02-05,https://www.dispatchtribunal.com/2019/02/04/ultra-petroleum-upl-trading-up-8-3.html,https://www.dispatchtribunal.com/2019/02/04/ultra-petroleum-upl-trading-up-8-3.html/amp,2019-02-05 01:00:00,Ultra Petroleum ( UPL ) Trading Up 8 . 3 % 
