QueryDate,URL,MobileURL,Date,Title
2019-01-02,https://www.wkrb13.com/2019/01/02/linde-lin-versus-kronos-worldwide-kro-financial-review.html,https://www.wkrb13.com/2019/01/02/linde-lin-versus-kronos-worldwide-kro-financial-review.html/amp,2019-01-02 11:15:00,Linde ( LIN ) versus Kronos Worldwide ( KRO ) Financial Review
2019-01-03,https://www.businesswire.com/news/home/20190103005146/en/CORRECTING-REPLACING-NYSE-Welcomes-2019-Global-Leader,,2019-01-03 16:15:00,CORRECTING and REPLACING The NYSE Welcomes 2019 as the Global Leader in Listings
2019-01-04,https://www.wkrb13.com/2019/01/04/tower-view-investment-management-research-llc-takes-position-in-linde-plc-lin.html,https://www.wkrb13.com/2019/01/04/tower-view-investment-management-research-llc-takes-position-in-linde-plc-lin.html/amp,2019-01-04 18:45:00,Tower View Investment Management & Research LLC Takes Position in Linde PLC ( LIN ) 
2019-01-09,https://www.wkrb13.com/2019/01/09/linde-lin-coverage-initiated-at-citigroup.html,https://www.wkrb13.com/2019/01/09/linde-lin-coverage-initiated-at-citigroup.html/amp,2019-01-09 14:00:00,Linde ( LIN ) Coverage Initiated at Citigroup
2019-01-10,https://www.wkrb13.com/2019/01/10/equities-analysts-offer-predictions-for-linde-plcs-fy2018-earnings-lin.html,https://www.wkrb13.com/2019/01/10/equities-analysts-offer-predictions-for-linde-plcs-fy2018-earnings-lin.html/amp,2019-01-10 07:00:00,Equities Analysts Offer Predictions for Linde PLC FY2018 Earnings ( LIN ) 
2019-01-11,https://theenterpriseleader.com/2019/01/10/retirement-systems-of-alabama-buys-shares-of-253486-linde-plc-lin.html,https://theenterpriseleader.com/2019/01/10/retirement-systems-of-alabama-buys-shares-of-253486-linde-plc-lin.html/amp,2019-01-11 01:15:00,"Retirement Systems of Alabama Buys Shares of 253 , 486 Linde PLC ( LIN ) "
2019-01-14,https://www.wkrb13.com/2019/01/14/linde-lin-coverage-initiated-at-keycorp.html,https://www.wkrb13.com/2019/01/14/linde-lin-coverage-initiated-at-keycorp.html/amp,2019-01-14 12:30:00,Linde ( LIN ) Coverage Initiated at KeyCorp
2019-01-15,https://www.wkrb13.com/2019/01/15/2700-shares-in-linde-plc-lin-purchased-by-sanders-morris-harris-llc.html,https://www.wkrb13.com/2019/01/15/2700-shares-in-linde-plc-lin-purchased-by-sanders-morris-harris-llc.html/amp,2019-01-15 01:15:00,"2 , 700 Shares in Linde PLC ( LIN ) Purchased by Sanders Morris Harris LLC"
2019-01-16,https://www.wkrb13.com/2019/01/16/vigilant-capital-management-llc-invests-13-71-million-in-linde-plc-lin-stock.html,https://www.wkrb13.com/2019/01/16/vigilant-capital-management-llc-invests-13-71-million-in-linde-plc-lin-stock.html/amp,2019-01-16 01:45:00,Vigilant Capital Management LLC Invests $13 . 71 Million in Linde PLC ( LIN ) Stock
2019-01-17,https://www.dispatchtribunal.com/2019/01/16/norway-savings-bank-takes-59000-position-in-linde-plc-lin.html,https://www.dispatchtribunal.com/2019/01/16/norway-savings-bank-takes-59000-position-in-linde-plc-lin.html/amp,2019-01-17 03:30:00,"Norway Savings Bank Takes $59 , 000 Position in Linde PLC ( LIN ) "
2019-01-21,https://www.themarketsdaily.com/2019/01/21/linde-lin-receives-buy-rating-from-ubs-group.html,https://www.themarketsdaily.com/2019/01/21/linde-lin-receives-buy-rating-from-ubs-group.html/amp,2019-01-21 17:30:00,Linde ( LIN ) Receives  Buy  Rating from UBS Group
