QueryDate,URL,MobileURL,Date,Title,Content-type: text/html; charset=utf-8
2019-01-01,https://endigest.com/2019/01/01/advisory-research-increased-its-stake-in-centerstate-bank-csfl-by-1-96-million-as-stock-value-declined-as-kopin-kopn-stock-value-declined-holder-round-table-services-lifted-position/,,2019-01-01 17:45:00,"Advisory Research Increased Its Stake in Centerstate Bank ( CSFL ) by $1 . 96 Million as Stock Value Declined ; As Kopin ( KOPN ) Stock Value Declined , Holder Round Table Services Lifted Position – EN Digest",
2019-01-02,https://enbulletin.com/2019/01/01/today-jan-1-ishares-msci-united-kingdom-etf-ewu-declines-0-1/,,2019-01-02 02:00:00,Today Jan 1 iShares MSCI United Kingdom ETF ( EWU ) Declines 0 . 1 % – Enbulletin,
2019-01-03,https://renewablesnow.com/news/rsted-two-others-bid-in-new-jerseys-11-gw-offshore-wind-solicitation-638366/,,2019-01-03 11:00:00,"Ørsted , two others bid in New Jersey 1 . 1 - GW offshore wind solicitation",
2019-01-04,https://www.fairfieldcurrent.com/news/2019/01/03/royal-dutch-shell-rds-a-and-highpoint-resources-hpr-critical-survey.html,https://www.fairfieldcurrent.com/news/2019/01/03/royal-dutch-shell-rds-a-and-highpoint-resources-hpr-critical-survey.html/amp,2019-01-04 01:00:00,Royal Dutch Shell ( RDS . A ) and HighPoint Resources ( HPR ) Critical Survey,
2019-01-07,http://www.swissinfo.ch/eng/european-stocks-open-higher-as-oil--china-boost-miners--energy/44662548,,2019-01-07 10:00:00,"European Stocks Open Higher as Oil , China Boost Miners , Energy",
2019-01-08,https://www.rigzone.com/news/louisiana_petchems_unit_starts_up-07-jan-2019-157859-article,,2019-01-08 00:45:00,Louisiana Petchems Unit Starts Up,
2019-01-09,http://www.gaininggreen.com/royal-dutch-shell-plc-transaction-in-own-shares-8/1246760/,http://www.gaininggreen.com/royal-dutch-shell-plc-transaction-in-own-shares-8/1246760/amp/,2019-01-09 01:15:00,Royal Dutch Shell plc : Transaction in Own Shares,
2019-01-10,https://www.thehindubusinessline.com/companies/shell-completes-acquisition-of-26-equity-in-hazira-lng-and-ports/article25947834.ece,https://www.thehindubusinessline.com/companies/shell-completes-acquisition-of-26-equity-in-hazira-lng-and-ports/article25947834.ece/amp/,2019-01-10 12:00:00,Shell completes acquisition of 26 % equity in Hazira LNG and Ports,
2019-01-11,https://o.canada.com/commodities/energy/shell-seeks-sale-of-canadian-refinery-to-focus-on-lng-project/wcm/c2346334-0b64-4f92-9c26-35ab3a69b8e2,https://beta.canada.com/commodities/energy/shell-seeks-sale-of-canadian-refinery-to-focus-on-lng-project/wcm/c2346334-0b64-4f92-9c26-35ab3a69b8e2/amp,2019-01-11 17:15:00,"Shell seeks sale of Ontario refinery , sour gas facilities in Alberta amid focus on $31 - billion LNG project",
2019-01-14,https://www.investegate.co.uk/lb-shell-plc--lbp-/rns/price-monitoring-extension/201901141400470410N/,,2019-01-14 15:15:00,FE Investegate |Lb - shell plc Announcements | Lb - shell plc : Price Monitoring Extension,
2019-01-15,https://www.businesswire.com/news/home/20190115005447/en/Petroleum-Additives-Market-Analysis-Trends-Forecasts-2016-2024,,2019-01-15 13:00:00,"Petroleum Additives Market Analysis , Trends , and Forecasts , 2016 - 2024 - Global Business Strategic Report 2019 - ResearchAndMarkets . com",
2019-01-16,https://www.chron.com/neighborhood/business/energy/article/Oil-Holds-Gain-Near-52-on-Hope-OPEC-Cuts-Will-13537725.php,https://www.chron.com/business/energy/amp/Oil-Holds-Gain-Near-52-on-Hope-OPEC-Cuts-Will-13537725.php,2019-01-16 13:30:00,Oil steady near $52 on signs of falling U . S . crude inventories,
