date,AAPL,MSFT,AMZN,TSLA,GOOGL,S&P500
2019-01-01,79.64,66.29,51.07,74.83,46.37,79.45
2019-01-02,57.78,43.22,71.8,70.62,51.33,57.79
2019-01-03,66.65,51.93,59.87,41.85,71.14,63.54
2019-01-04,63.25,72.42,62.11,68.64,41.04,78.61
2019-01-05,41.02,41.64,49.95,73.99,42.77,77.46
2019-01-06,44.17,42.6,61.8,53.77,68.85,50.95
2019-01-07,49.36,52.45,53.6,76.45,43.07,69.92
2019-01-08,51.94,40.42,76.55,76.65,72.62,71.22
2019-01-09,47.94,44.98,66.57,46.0,58.9,58.68
2019-01-10,76.79,41.73,78.09,54.87,59.72,62.0
2019-01-11,68.45,62.44,77.22,71.58,70.33,77.75
2019-01-12,68.93,68.14,40.52,56.63,62.13,64.99
2019-01-13,58.06,65.18,68.6,77.16,55.15,54.57
2019-01-14,66.03,61.34,54.32,52.99,76.22,74.08
2019-01-15,64.26,61.13,58.35,78.73,69.22,41.93
2019-01-16,51.81,77.54,47.07,47.91,79.34,66.35
2019-01-17,52.8,41.77,60.13,52.09,54.92,65.69
2019-01-18,55.57,73.75,42.03,65.22,66.41,55.97
2019-01-19,79.17,77.48,57.22,42.03,66.46,67.85
2019-01-20,47.52,52.14,75.44,61.27,59.81,46.69
2019-01-21,71.97,68.93,79.37,62.05,74.91,41.87
2019-01-22,52.22,71.19,76.21,66.29,46.21,65.22
2019-01-23,71.37,40.2,79.35,51.26,77.14,62.98
2019-01-24,52.44,46.81,62.86,46.6,76.94,74.86
2019-01-25,71.3,71.85,61.22,46.11,45.57,66.13
2019-01-26,72.98,53.79,76.61,75.57,75.65,64.87
2019-01-27,69.28,56.09,60.53,47.87,70.87,44.38
2019-01-28,68.51,54.83,56.45,41.61,71.76,47.38
2019-01-29,79.77,63.85,70.14,65.99,43.69,78.8
2019-01-30,41.57,70.34,52.49,75.09,44.24,55.96
2019-01-31,59.37,60.42,65.46,48.5,55.3,73.86
2019-02-01,68.06,70.49,66.2,69.91,70.02,79.6
2019-02-02,70.98,62.02,74.76,45.5,79.04,69.96
2019-02-03,72.3,76.99,46.94,63.42,58.64,47.92
2019-02-04,64.15,63.55,42.75,65.99,76.83,49.04
2019-02-05,40.13,64.76,46.04,73.44,43.0,47.95
2019-02-06,67.85,62.91,64.09,63.26,77.78,54.79
2019-02-07,58.0,55.9,79.14,41.89,57.68,66.62
2019-02-08,71.38,42.21,70.33,56.23,57.3,55.17
2019-02-09,67.04,46.81,76.85,57.7,71.85,50.86
2019-02-10,74.89,49.07,49.72,40.42,79.15,60.31
2019-02-11,60.27,66.65,57.07,79.45,69.21,70.04
2019-02-12,47.99,53.61,40.0,45.1,73.12,69.49
2019-02-13,67.72,42.06,56.2,60.68,46.41,64.45
2019-02-14,79.88,63.58,63.65,50.69,58.49,65.02
