Date,Close,High,Low,Open,Volume,AAPL,Title,Title_Sentiment
2019-01-02,37.538814544677734,37.75988468009887,36.66167220093753,36.81856021612245,148158800,57.78,"Apple officially failed to launch this product in 2018 , Telecom News , ET Telecom",-0.5106
2019-01-03,33.799678802490234,34.63878719875447,33.75451373194411,34.225174245848386,365248800,66.65,Apple blames China trade war for disappointing iPhone sales and significant cut in revenue forecast,-0.8779
2019-01-04,35.2425537109375,35.311490997459316,34.18237905675144,34.35590471835777,234428400,63.25,The Not - So - Secret Reason Both Apple and Berkshire Hathaway Stocks Declined Today -- The Motley Fool,-0.4404
2019-01-07,35.16411590576172,35.37805511903299,34.68156932360782,35.347151941896,219111200,49.36,"Apple TV deal with Samsung showcases shift to services | Technology News , The Indian Express",0.0
2019-01-08,35.83445358276367,36.08880268918446,35.30436616393607,35.55158069885025,164101200,51.94,Weak Performance In China And India Will Cause Apple To Stagnate,-0.4404
2019-01-09,36.44297409057617,36.732977831914454,35.56821132315945,35.962803426324406,180396400,47.94,Why Apple has now changed its tune for rival Samsung,0.0
2019-01-10,36.55946731567383,36.59987721410009,35.86060567047333,36.25044639149984,143122800,76.79,Where Can Apple Growth Come From Now ? -- The Motley Fool,-0.0772
2019-01-11,36.20052719116211,36.53569613305001,36.01511535674199,36.340777580487256,108092800,68.45,Apple CES Privacy Claim Is Misleading,-0.4019
2019-01-14,35.65616226196289,35.958052118044584,35.470750508371275,35.858215298966975,129756800,66.03,3 Reasons Apple Is Still a Long - Term Buy -- The Motley Fool,-0.4404
2019-01-15,36.38593673706055,36.462001351236886,35.66805812501693,35.72035413413402,114843600,64.26,"Despite Legal War , Apple Was Planning on Buying Qualcomm Modems Last Year -- The Motley Fool",-0.032
2019-01-16,36.83045196533203,37.053897907115854,36.369298192226466,36.388315253988246,122278800,51.81,Did People Replacing Batteries Lead to Weak iPhone Sales ? ,-0.4404
2019-01-17,37.049137115478516,37.47701187238664,36.43109539692976,36.65454130482251,119284800,52.8,Apple plans to cut back on hiring after selling fewer iPhones than expected,-0.2732
2019-01-18,37.2773323059082,37.52930194874502,37.07765503280678,37.43897184013087,135004000,55.57,"Apple Watch , Johnson & Johnson team up on study to reduce stroke risk",-0.2732
2019-01-22,36.44060516357422,37.25594114742215,36.27896197923972,37.179876540248834,121576000,52.22,Apple Samgyupsal : Here to an apple - licious savoury meal,0.0
