QueryDate,URL,MobileURL,Date,Title
2019-01-01,https://kdvr.com/2018/12/31/u-s-stocks-close-2018-with-worst-year-in-a-decade/,https://kdvr.com/2018/12/31/u-s-stocks-close-2018-with-worst-year-in-a-decade/amp/,2019-01-01 00:00:00,U . S . stocks close 2018 with worst year in a decade
2019-01-02,https://www.forbes.com/sites/markrosenberg/2019/01/01/measuring-the-relationship-between-u-s-political-risk-and-the-sp-500/,,2019-01-02 02:45:00,Measuring The Relationship Between U . S . Political Risk And The S & P 500
2019-01-03,https://news.yahoo.com/wall-street-ekes-gain-apple-cuts-revenue-forecast-005745827.html,https://finance.yahoo.com/amphtml/news/wall-street-ekes-gain-apple-cuts-revenue-forecast-005745827.html,2019-01-03 01:30:00,"Wall Street ekes out gain , Apple cuts revenue forecast after the bell"
2019-01-04,https://abcnews.go.com/Business/wireStory/major-us-stock-indexes-fared-thursday-60145824,https://abcnews.go.com/amp/Business/wireStory/major-us-stock-indexes-fared-thursday-60145824,2019-01-04 00:15:00,How major US stock indexes fared Thursday
2019-01-07,https://seekingalpha.com/article/4231735-s-and-p-500-verge-bear-market,https://seekingalpha.com/amp/article/4231735-s-and-p-500-verge-bear-market,2019-01-07 10:45:00,The S & P 500 On The Verge Of A Bear Market
2019-01-08,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-2019-stock-market-rally-apple-stock-amazon-stock/,,2019-01-08 00:00:00,Dow Jones Futures : 2019 Stock Market Rally Doesnt Need Apple Stock
2019-01-09,https://www.washingtonpost.com/business/how-major-us-stock-indexes-fared-tuesday/2019/01/08/8c95926a-138d-11e9-ab79-30cd4f7926f2_story.html,https://www.washingtonpost.com/amphtml/business/how-major-us-stock-indexes-fared-tuesday/2019/01/08/8c95926a-138d-11e9-ab79-30cd4f7926f2_story.html,2019-01-09 00:15:00,How major US stock indexes fared Tuesday
2019-01-10,https://247wallst.com/?p=520369,https://247wallst.com/?p=520369&amp,2019-01-10 00:45:00,Wednesday Biggest Winners and Losers in the S & P 500
2019-01-11,https://www.marketwatch.com/premium-newsletters/archive/marketwatch-options-trader,,2019-01-11 00:45:00,Premium Newsletters - MarketWatch
2019-01-14,https://www.ccn.com/government-shutdown-doesnt-stop-dow-jones-from-seeing-best-start-since-2006/,https://www.ccn.com/government-shutdown-doesnt-stop-dow-jones-from-seeing-best-start-since-2006/amp/,2019-01-14 02:15:00,Government Shutdown Doesnt Stop Dow from Best Start Since 2006
2019-01-15,https://247wallst.com/investing/2019/01/14/mondays-biggest-winners-and-losers-in-the-sp-500-75/,https://247wallst.com/investing/2019/01/14/mondays-biggest-winners-and-losers-in-the-sp-500-75/amp/,2019-01-15 02:00:00,Monday Biggest Winners and Losers in the S & P 500
2019-01-16,https://247wallst.com/investing/2019/01/15/tuesdays-biggest-winners-and-losers-in-the-sp-500-84/,https://247wallst.com/investing/2019/01/15/tuesdays-biggest-winners-and-losers-in-the-sp-500-84/amp/,2019-01-16 01:30:00,Tuesday Biggest Winners and Losers in the S & P 500
2019-01-17,https://247wallst.com/investing/2019/01/16/wednesdays-biggest-winners-and-losers-in-the-sp-500-83/,https://247wallst.com/investing/2019/01/16/wednesdays-biggest-winners-and-losers-in-the-sp-500-83/amp/,2019-01-17 00:45:00,Wednesday Biggest Winners and Losers in the S & P 500
2019-01-18,https://247wallst.com/investing/2019/01/17/thursdays-biggest-winners-and-losers-in-the-sp-500-88/,https://247wallst.com/investing/2019/01/17/thursdays-biggest-winners-and-losers-in-the-sp-500-88/amp/,2019-01-18 01:00:00,Thursday Biggest Winners and Losers in the S & P 500
2019-01-21,https://news.abs-cbn.com/business/01/21/19/us-chipmakers-earnings-may-give-clues-on-china-hazard,,2019-01-21 00:15:00,US chipmakers earnings may give clues on China hazard
2019-01-22,https://www.fool.com.au/2019/01/22/2-etfs-to-buy-for-wealth-through-simple-investing/,,2019-01-22 04:30:00,2 ETFs to buy for wealth through simple investing
2019-01-23,https://www.cnbc.com/2019/01/22/three-reasons-why-the-market-has-moved-too-far-too-fast-according-to-one-technician.html,https://www.cnbc.com/amp/2019/01/22/three-reasons-why-the-market-has-moved-too-far-too-fast-according-to-one-technician.html,2019-01-23 00:00:00,"Three reasons the market has moved  too far , too fast : Technician"
2019-01-24,https://www.nzherald.co.nz/business/news/article.cfm?c_id=3&objectid=12195466,,2019-01-24 00:30:00,How major US stock indexes fared Wednesday
2019-01-25,https://www.nzherald.co.nz/business/news/article.cfm?c_id=3&objectid=12196080,,2019-01-25 00:15:00,How major US stock indexes fared Thursday
2019-01-28,https://news.yahoo.com/ubs-ceo-sergio-ermotti-basically-063554601.html,https://finance.yahoo.com/amphtml/news/ubs-ceo-sergio-ermotti-basically-063554601.html,2019-01-28 07:45:00,UBS CEO Sergio Ermotti Basically Admits Equities Are A Ponzi Scheme
2019-01-29,https://wjno.iheart.com/content/2019-01-29-how-low-can-stocks-go-updated-risks-and-values-january-29th/,https://wjno.iheart.com/alternate/amp/2019-01-29-how-low-can-stocks-go-updated-risks-and-values-january-29th/,2019-01-29 11:15:00,How low can stocks go ? Updated risks and values – January 29th
